Rank,Name,Net Worth,Industry
124.,Ray Dalio,$15.4 B,Finance & Investments
125.,Philip Anschutz,$15.3 B,Finance & Investments
126.,Leonard Lauder,$15.1 B,Fashion & Retail
126.,Li Xiting,$15.1 B,Healthcare
126.,Peter Woo,$15.1 B,Real Estate
129.,Andreas von Bechtolsheim & family,$14.8 B,Technology
130.,George Kaiser,$14.6 B,Energy
131.,Wang Chuanfu,$14.2 B,Automotive
132.,Charlene de Carvalho-Heineken & family,$14.1 B,Food & Beverage
132.,David Duffield,$14.1 B,Technology
132.,Henry Samueli,$14.1 B,Technology
135.,"Theo Albrecht, Jr. & family",$14 B,Fashion & Retail
135.,Leon Black,$14 B,Finance & Investments
137.,Jerry Jones & family,$13.8 B,Sports
137.,Wang Wei,$13.8 B,Service
139.,David Green & family,$13.7 B,Fashion & Retail
140.,James Dyson,$13.6 B,Manufacturing
140.,David Sun,$13.6 B,Technology
140.,John Tu,$13.6 B,Technology
140.,Christy Walton,$13.6 B,Fashion & Retail
144.,Dang Yanbao,$13.4 B,Metals & Mining
144.,Aliko Dangote,$13.4 B,Manufacturing
144.,Ricardo Salinas Pliego & family,$13.4 B,Fashion & Retail
144.,Alisher Usmanov,$13.4 B,Metals & Mining
148.,Mike Cannon-Brookes,$13.3 B,Technology
148.,Uday Kotak,$13.3 B,Finance & Investments
150.,Mikhail Fridman,$13.1 B,Energy
150.,Joseph Lau,$13.1 B,Real Estate
152.,Scott Farquhar,$13 B,Technology
153.,Laurene Powell Jobs & family,$12.8 B,Technology
154.,Goh Cheng Liang,$12.7 B,Manufacturing
154.,George Roberts,$12.7 B,Finance & Investments
156.,David Cheriton,$12.6 B,Technology
156.,Jeffery Hildebrand,$12.6 B,Energy
156.,Georg Stumpf,$12.6 B,Diversified
159.,Dhanin Chearavanont,$12.5 B,Diversified
159.,Anders Holch Povlsen,$12.5 B,Fashion & Retail
161.,Israel Englander,$12.4 B,Finance & Investments
162.,Shahid Khan,$12.2 B,Automotive
162.,Johann Rupert & family,$12.2 B,Fashion & Retail
164.,Hasso Plattner & family,$12.1 B,Technology
165.,Kwong Siu-hing,$12 B,Real Estate
165.,Azim Premji,$12 B,Technology
167.,"Henry Nicholas, III.",$11.9 B,Technology
168.,"Edward Johnson, IV.",$11.8 B,Finance & Investments
169.,John Doerr,$11.7 B,Finance & Investments
169.,Henry Kravis,$11.7 B,Finance & Investments
169.,Eric Smidt,$11.7 B,Fashion & Retail
172.,Lu Xiangyang,$11.6 B,Automotive
173.,Andrew Beal,$11.5 B,Finance & Investments
173.,Jay Y. Lee,$11.5 B,Technology
173.,Michael Rubin,$11.5 B,Fashion & Retail
176.,Robert Kuok,$11.4 B,Diversified
177.,Giorgio Armani,$11.3 B,Fashion & Retail
177.,Jay Chaudhry,$11.3 B,Technology
177.,Charoen Sirivadhanabhakdi,$11.3 B,Food & Beverage
180.,Brian Armstrong,$11.2 B,Finance & Investments
180.,Ernesto Bertarelli,$11.2 B,Healthcare
180.,Bubba Cathy,$11.2 B,Food & Beverage
180.,Dan Cathy,$11.2 B,Food & Beverage
180.,Trudy Cathy White,$11.2 B,Food & Beverage
180.,Lui Che Woo,$11.2 B,Gambling & Casinos
180.,Wei Jianjun & family,$11.2 B,Automotive
180.,Sky Xu,$11.2 B,Fashion & Retail
188.,Melinda French Gates,$11.1 B,Technology
188.,Robert Kraft,$11.1 B,Sports
190.,Brian Chesky,$11 B,Technology
190.,Barry Lam,$11 B,Technology
190.,Donald Newhouse,$11 B,Media & Entertainment
190.,Mikhail Prokhorov,$11 B,Finance & Investments
190.,Manuel Villar,$11 B,Real Estate
195.,Jiang Rensheng & family,$10.9 B,Healthcare
195.,Lei Jun,$10.9 B,Technology
195.,Georg Schaeffler,$10.9 B,Automotive
195.,Marcel Herrmann Telles & family,$10.9 B,Food & Beverage
199.,David Velez & family,$10.8 B,Finance & Investments
200.,Suleiman Kerimov & family,$10.7 B,Finance & Investments
